@CustomerID    TransactionID    Date    ProductID
6400000   1   2014-08-08  4528        
6400000   2   2014-07-31  2600        
6400000   3   2014-07-25  24929       
6400000   3   2014-07-25  20551       
6400000   3   2014-07-25  2452        
6400000   4   2014-08-03  19381       
6400000   4   2014-08-03  23351       
6400000   5   2014-07-04  18712       
6400000   5   2014-07-04  2452        
6400000   6   2014-07-08  15065       
6400000   6   2014-07-08  28270       
6400000   6   2014-07-08  18038       
6400000   6   2014-07-08  15315       
6400000   7   2014-07-07  10866       
6400000   7   2014-07-07  2452        
6400000   8   2014-07-15  4443        
6400000   8   2014-07-15  2452        
6400000   9   2014-06-21  15258       
6400000   9   2014-06-21  17958       
6400000   9   2014-06-21  22371       
6400000   9   2014-06-21  26737       
6400000   9   2014-06-21  647         
6400000   9   2014-06-21  9567        
6400000   10  2014-07-23  6352        
6400000   11  2014-07-01  2452        
6400000   12  2014-08-02  2452        
6400000   13  2014-06-14  224         
6400000   13  2014-06-14  23628       
6400000   14  2014-06-04  12977       
6400000   14  2014-06-04  15412       
6400000   15  2014-07-09  18038       
6400000   15  2014-07-09  2452        
6400000   16  2014-06-08  8173        
6400000   17  2014-06-24  3313        
6400000   17  2014-06-24  20979       
6400000   17  2014-06-24  18697       
6400000   18  2014-08-10  11748       
6400000   18  2014-08-10  3991        
6400000   18  2014-08-10  3404        
6400000   18  2014-08-10  15672       
6400000   18  2014-08-10  9893        
6400000   19  2014-07-06  13853       
6400000   19  2014-07-06  2452        
6400000   20  2014-08-12  28125       
6400000   20  2014-08-12  15672       
6400000   21  2014-08-11  28087       
6400000   21  2014-08-11  451         
6400000   21  2014-08-11  9181        
6400000   22  2014-06-23  13067       
6400000   22  2014-06-23  9567        
6400000   22  2014-06-23  18658       
6400000   22  2014-06-23  2452        
6400000   22  2014-06-23  6880        
6400000   22  2014-06-23  3536        
6400000   22  2014-06-23  19751       
6400000   23  2014-07-13  2452        
6400000   24  2014-05-30  3866        
6400000   25  2014-06-30  24704       
6400000   26  2014-07-10  28270       
6400000   26  2014-07-10  22371       
6400000   26  2014-07-10  2452        
6400000   27  2014-07-27  1739        
6400000   27  2014-07-27  2600        
6400000   28  2014-06-22  1570        
6400000   29  2014-06-03  27155       
6400000   29  2014-06-03  18180       
6400000   30  2014-07-05  2452        
6400000   31  2014-06-27  2367        
6400000   31  2014-06-27  16540       
6400000   31  2014-06-27  18712       
6400000   31  2014-06-27  28097       
6400000   32  2014-06-13  4281        
6400000   33  2014-07-21  16406       
6400000   33  2014-07-21  5712        
6400000   33  2014-07-21  2452        
6400000   34  2014-06-29  12287       
6400000   35  2014-08-04  10153       
6400000   35  2014-08-04  4443        
6400000   35  2014-08-04  4193        
6400000   35  2014-08-04  3404        
6400000   36  2014-06-01  7071             
